country name,Element,Unit,Production_Y2018
Peru,Production,tonnes,195245.82
Tanzania,Production,tonnes,56651
Albania,Production,tonnes,240294
Algeria,Production,tonnes,3981219.15
Bangladesh,Production,tonnes,1099373
Bolivia,Production,tonnes,301688.85
Bulgaria,Production,tonnes,5954520
Denmark,Production,tonnes,2623930
Egypt,Production,tonnes,8348629
France,Production,tonnes,35424140
Germany,Production,tonnes,20263500
Hungary,Production,tonnes,5258430
India,Production,tonnes,99869520
Iran,Production,tonnes,13012380.31
Iraq,Production,tonnes,2177885
Israel,Production,tonnes,70500
Japan,Production,tonnes,764900
Lebanon,Production,tonnes,130000
Libya,Production,tonnes,200000
Mexico,Production,tonnes,2943445.12
Morocco,Production,tonnes,7320620.11
Myanmar,Production,tonnes,115995.52
Nepal,Production,tonnes,1949001
Pakistan,Production,tonnes,25076149
Poland,Production,tonnes,9637620
Romania,Production,tonnes,10143670
Saudi Arabia,Production,tonnes,586413
South Korea,Production,tonnes,50900
Spain,Production,tonnes,8322510
Sweden,Production,tonnes,1620300
Syria,Production,tonnes,1222987.62
Tunisia,Production,tonnes,1075400
United Kingdom,Production,tonnes,13555000
Canada,Production,tonnes,32351900
China,Production,tonnes,131446596
Italy,Production,tonnes,7104650
North Korea,Production,tonnes,25788
Turkey,Production,tonnes,20000000
United States,Production,tonnes,51305540
Russia,Production,tonnes,72136149
Ukraine,Production,tonnes,24652840
Zimbabwe,Production,tonnes,45000
Australia,Production,tonnes,20941134
Colombia,Production,tonnes,6399.28
Ecuador,Production,tonnes,5398
Guatemala,Production,tonnes,464
Kenya,Production,tonnes,336600
Angola,Production,tonnes,2953.56
Argentina,Production,tonnes,18518045
Brazil,Production,tonnes,5469236
Chile,Production,tonnes,1469003.4
Lesotho,Production,tonnes,6975
Mozambique,Production,tonnes,17000
Namibia,Production,tonnes,6094
Paraguay,Production,tonnes,722400
South Africa,Production,tonnes,1868000
Uruguay,Production,tonnes,440000
